BrandName,ModelGroup,ModelDescription,kModelMasterID,ModelNum,MFGModelNum,Summed_Sales,PartMFG,kInventoryID,kManufactureID,PartNum,Description,LongDescription,PartType,MIN_ImageOrder,Has_Image,SubbedPartNumbers,competitornumbers,reqManufactureID,reqMfgModelNum
Frigidaire,Refrigerator,Refrigerator,326383,DGHS2634KE3,,18328,Frigidaire,2378689,4,241885001,Dispenser Crusher Housing,"This part may look different or be a different color than the original, but will fit and function the same as the original part.",Ice Maker,1.0,1,"241685301,241685601,5304404358,5304404359,7241685301,7241685601,PS1526414,EAP1526414,FIX1526414,FRG1526414,PS1526415,EAP1526415,FIX1526415,FRG1526415,PS2335115,EAP2335115,FIX2335115,FRG2335115,PS2335116,EAP2335116,FIX2335116,FRG2335116,PS470763,EAP470763,FIX470763,FRG470763,PS470764,EAP470764,FIX470764,FRG470764,","PS2378689,EAP2378689,FIX2378689,,FRG2378689,AP4511889",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,737456,YTH24V48LS,2012-10 - 96048001400,15801,Husqvarna,9287205,126,532407568,Switch Reverse Tt Pedal Control,,,1.0,1,"PS16360376,EAP16360376,FIX16360376,FRG16360376,","PS9287205,EAP9287205,FIX9287205,",0,1
Kenmore,Refrigerator,Refrigerator,88993,25354703401                   ,,17048,Frigidaire,430588,4,240430706         ,Shelf Trim,,,1.0,1,"240367702,PS430263,EAP430263,FIX430263,FRG430263,","PS430588,EAP430588,FIX430588,,FRG430588,AP2116361",0,0
Frigidaire,Refrigerator,Refrigerator,34991,CRSE264FB1                    ,,17000,Frigidaire,428553,4,218721500         ,BRACKET-LEVELING,,,1.0,1,"215168400,5304456686,5304469376,75304456686,PS1532739,EAP1532739,FIX1532739,FRG1532739,PS2337028,EAP2337028,FIX2337028,FRG2337028,PS2349816,EAP2349816,FIX2349816,FRG2349816,PS422190,EAP422190,FIX422190,FRG422190,","PS428553,EAP428553,FIX428553,,FRG428553,",0,0
General Electric,Dryer,Dryer,898846,GUSR465EB1WW,,34190,GE,267624,2,WE2M160           ,SCREW #8,,,1.0,1,"PS264641,EAP264641,FIX264641,FRG264641,PS267616,EAP267616,FIX267616,FRG267616,WE02M0160,WE2M0160,","PS267624,EAP267624,FIX267624,AP2042291",0,0
Maytag,Refrigerator,Refrigerator,866854,MFT2771XEM1,,16467,Whirlpool,11739239,3,WP2198607,Ice Dispenser Drive Shaft Spring,Sold individually. ,Spring or Shock Absorber,1.0,1,"2198607,8206729,PS2218306,EAP2218306,FIX2218306,FRG2218306,PS2276582,EAP2276582,FIX2276582,FRG2276582,PS329956,EAP329956,FIX329956,FRG329956,PS897529,EAP897529,FIX897529,FRG897529,","PS11739239,EAP11739239,FIX11739239,",0,0
Norge,Dryer,Dryer,870744,8440A,REV A,17315,Whirlpool,2047657,3,53-0119,CLIP- HING,,,,0,"PS95843,EAP95843,FIX95843,FRG95843,","PS2047657,EAP2047657,FIX2047657,530119,53.0119,53 0119,AP4056358",0,1
General Electric,Dryer,Dryer,900277,GUAN275ED2WW,,30289,GE,3501422,2,WH01X10624,SCR 6-20 B TRT 3/8 S,,,,0,,"PS3501422,EAP3501422,FIX3501422,",0,0
General Electric,Dryer,Dryer,900494,HTMX100ED1WW,,28726,GE,9493090,2,WE21X20562, DRUM Assembly ,,,1.0,1,"PS267467,EAP267467,FIX267467,FRG267467,PS267475,EAP267475,FIX267475,FRG267475,PS9494518,EAP9494518,FIX9494518,FRG9494518,WE21M0014,WE21M14,WE21X20407,","PS9493090,EAP9493090,FIX9493090,",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,1187344,GTH2548XP,"(GTH2548XPB,954567895)(2003-05)",18549,Husqvarna,9014129,126,532174371,Spring Secondary Drive,,Spring or Shock Absorber,1.0,1,"PS16357903,EAP16357903,FIX16357903,FRG16357903,","PS9014129,EAP9014129,FIX9014129,",0,1
Husqvarna,Lawn Tractor,Lawn Tractor,1275162,YTH180,(HEYTH180C)(2000-03),19057,Husqvarna,17016479,126,531167001,Baffle Vortex,Baffle Vortex,,1.0,1,"136888,159770,532136888,532159770,539110463,PS11818973,EAP11818973,FIX11818973,FRG11818973,PS16357099,EAP16357099,FIX16357099,FRG16357099,PS8873236,EAP8873236,FIX8873236,FRG8873236,PS9012738,EAP9012738,FIX9012738,FRG9012738,PS9372060,EAP9372060,FIX9372060,FRG9372060,PS9373797,EAP9373797,FIX9373797,FRG9373797,","PS17016479,EAP17016479,FIX17016479,",0,1
Kenmore,Refrigerator,Refrigerator,354502,25357103609,,16768,Frigidaire,1533017,4,5304458384        ,SCREW,,,,0,"75304458384,PS2337146,EAP2337146,FIX2337146,FRG2337146,","PS1533017,EAP1533017,FIX1533017,,FRG1533017,AP3966102",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,1192934,PP22H50KA,(1995),16733,Husqvarna,9011497,126,532142878,"Washer,1.0X1.63X.08",,,,0,,"PS9011497,EAP9011497,FIX9011497,",0,1
Frigidaire,Refrigerator,Refrigerator,10098,FRS26KF5DS2                   ,,17001,Frigidaire,1525528,4,215005101         ,Screw,This screw is sold individually.,Hardware,1.0,1,"215005100,7215005101,PS2334746,EAP2334746,FIX2334746,FRG2334746,PS421744,EAP421744,FIX421744,FRG421744,","PS1525528,EAP1525528,FIX1525528,,FRG1525528,AP3958784",0,0
Frigidaire,Refrigerator,Refrigerator,177043,FRS6HF6JQ0                    ,,17249,Frigidaire,430360,4,240380101         ,DUCT-ICE MAKER,,,1.0,1,,"PS430360,EAP430360,FIX430360,,FRG430360,",0,0
Amana,Refrigerator,Refrigerator,830249,SL22JB-P1116005W,,41280,Whirlpool,2111205,3,C3667101H,DISCONTINUED,,,,0,"0312509,10507801,10507801H,10507821,10507825,10628102,C3667101,D7672301,D7736203,D7736223,D7743202,PS154787,EAP154787,FIX154787,FRG154787,PS169962,EAP169962,FIX169962,FRG169962,PS171056,EAP171056,FIX171056,FRG171056,PS171064,EAP171064,FIX171064,FRG171064,PS171101,EAP171101,FIX171101,FRG171101,PS19100,EAP19100,FIX19100,FRG19100,PS1998148,EAP1998148,FIX1998148,FRG1998148,PS1998149,EAP1998149,FIX1998149,FRG1998149,PS1998155,EAP1998155,FIX1998155,FRG1998155,PS1998159,EAP1998159,FIX1998159,FRG1998159,PS2120845,EAP2120845,FIX2120845,FRG2120845,PS36304,EAP36304,FIX36304,FRG36304,PS36305,EAP36305,FIX36305,FRG36305,PS36311,EAP36311,FIX36311,FRG36311,PS36315,EAP36315,FIX36315,FRG36315,PS37929,EAP37929,FIX37929,FRG37929,PS779736,EAP779736,FIX779736,FRG779736,","PS2111205,EAP2111205,FIX2111205,AP4126709",0,0
